sku,asin,type,product_sku,product_asin
BENT-C-9004H-BGX4,B078GGQYD6,Combo,BENT-C-9004H-BGX2,B078GG1XPV
BENT-C-9004H-GYX4,B078GH4PGM,Combo,BENT-C-9004H-GYX2,B078GCGP85
BFRAME-E-BSIDE-BKX2,B077YKRL3X,Combo,BFRAME-E-BSIDE-BK,B077YN58KG
BFRAME-E-BSIDE-GYX2,B077YYG41W,Combo,BFRAME-E-BSIDE-GY,B076P2YXQW
BFRAME-E-BSIDE-WHX2,B077YGLB3D,Combo,BFRAME-E-BSIDE-WH,B077YKCV2Q
BFRAME-E-ISSA-D-CHAR-AB,B07TQT68P6,Combo,BFRAME-E-ISSA-D-CHAR-A,
BFRAME-E-ISSA-D-CHAR-AB,B07TQT68P6,Combo,BFRAME-E-ISSA-D-CHAR-B,
BFRAME-E-ISSA-D-GY-AB,B07TLKJMPR,Combo,BFRAME-E-ISSA-D-GY-A,
BFRAME-E-ISSA-D-GY-AB,B07TLKJMPR,Combo,BFRAME-E-ISSA-D-GY-B,
BFRAME-E-ISSA-K-CHAR-AB,B07G856TTC,Combo,BFRAME-E-ISSA-K-CHAR-A,
BFRAME-E-ISSA-K-CHAR-AB,B07G856TTC,Combo,BFRAME-E-ISSA-K-CHAR-B,
BFRAME-E-ISSA-K-CHAR-AB,B07G856TTC,Combo,BFRAME-E-ISSA-K-CHAR-C,
BFRAME-E-ISSA-K-GY-ABC,B07TQT1N6L,Combo,BFRAME-E-ISSA-K-GY-A,
